res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
1402199,Little Italy,['Casual Dining'],https://www.zomato.com/indore/little-italy-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"78/2nd, Brilliant Convention Centre, Near Lifecare Hospital, Vijay Nagar, Indore",Indore,14,Vijay Nagar,22.76269245,75.88230081,,1,"Vijay Nagar, Indore","Italian, Mexican",12noon – 11:30pm (Mon-Sun),1400,3,Rs.,"['Credit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Fullbar', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']",4.5,Excellent,329,453,0,-1,-1
1401162,Golden Oven,['Casual Dining'],https://www.zomato.com/indore/golden-oven-south-tukoganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Best Western Plus O2, 31/1, South Tukoganj, Indore",Indore,14,"Hotel Best Western Plus O2, South Tukoganj",22.71765726,75.87460253,,1,"Hotel Best Western Plus O2, South Tukoganj, Indore","North Indian, Chinese, Continental","7:30 AM to 10:30 AM, 12:30 PM to 3 PM, 7:30 PM to 11 PM (Mon-Sun)",1400,3,Rs.,"['Lunch', 'Serves Alcohol', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Debit Card', 'Fullbar', 'Air Conditioned', 'Buffet', 'Indoor Seating', 'Table booking recommended']",3.7,Good,123,105,0,-1,-1
19155153,Spiritual Pub & Restaurant,['Pub'],https://www.zomato.com/indore/spiritual-pub-restaurant-1-rau?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4th Floor, Trinity Mall, Mhow-Indore Road, Umaria, Rau, Indore",Indore,14,Rau,22.606804,75.794497,,1,"Rau, Indore","North Indian, Chinese, Italian, Continental",12:30 PM to 11:30 PM,1400,3,Rs.,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Dance Floor', 'Indoor Seating', 'Fullbar', 'Digital Payments Accepted']",3.4,Average,6,31,0,-1,-1
1400572,Big Shot Bar - Country Inn & Suites by Radisson,['Bar'],https://www.zomato.com/indore/big-shot-bar-country-inn-suites-by-radisson-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Country Inn & Suites by Radisson, 306 B, PU 4, Rasoma Circle, A B Road, Vijay Nagar, Indore",Indore,14,"Country Inn & Suites By Radisson, Vijay Nagar",22.74749283,75.89551136,,1,"Country Inn & Suites By Radisson, Vijay Nagar, Indore",Bar Food,11:30 AM to 11 PM,1400,3,Rs.,"['Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Air Conditioned']",3.2,Average,49,16,0,-1,-1
1400622,Beeji Restaurant,['Bar'],https://www.zomato.com/indore/beeji-restaurant-kothari-market?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"26, Rampuravali Building, Opposite District Court, MG Road, Kothari Market, Indore",Indore,14,Kothari Market,22.71983076,75.8651692,,1,"Kothari Market, Indore","North Indian, Chinese",11 AM to 12 Midnight,1400,3,Rs.,"['Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Delivery', 'Fullbar', 'Indoor Seating', 'Air Conditioned']",3.6,Good,31,23,0,-1,-1
1401501,Classic Bar & Restaurant,['Bar'],https://www.zomato.com/indore/classic-bar-restaurant-yn-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"569, Rajani Bhawan, YN Road, Indore",Indore,14,YN Road,22.72095059,75.87418411,,1,"YN Road, Indore","North Indian, Chinese",11 AM to 11 PM,1400,3,Rs.,"['Cash', 'Debit Card', 'Takeaway Available', 'Lunch', 'Credit Card', 'Dinner', 'Air Conditioned', 'Table booking recommended', 'Indoor Seating', 'Smoking Area', 'Fullbar']",3.3,Average,17,17,0,-1,-1
1400406,Lancer Cocktail Lounge,['Casual Dining'],https://www.zomato.com/indore/lancer-cocktail-lounge-south-tukoganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Crown Palace, 2-A, Kanchan Bagh, Near Geeta Bhawan Square, South Tukoganj, Indore",Indore,14,"Hotel Crown Palace, South Tukoganj",22.71953572,75.8837254,0,1,"Hotel Crown Palace, South Tukoganj, Indore","North Indian, Mughlai, Continental, Chinese",11 AM to 11:50 PM (Mon-Sun),1400,3,Rs.,"['Cash', 'Debit Card', 'Takeaway Available', 'Lunch', 'Credit Card', 'Dinner', 'Air Conditioned', 'Table booking recommended', 'Indoor Seating', 'Smoking Area', 'Fullbar']",3.3,Average,8,12,0,-1,-1
18762215,Signature Boutique Hotel,['Casual Dining'],https://www.zomato.com/indore/signature-boutique-hotel-by-pass-road-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Unit 4, Bicholi Hapsi, Mayank Blue Water Park Road, By Pass Road (North), Indore",Indore,14,By Pass Road (North),22.71241202,75.92131756,,1,"By Pass Road (North), Indore","North Indian, Chinese",11 AM to 11:30 PM,1400,3,Rs.,"['Dinner', 'Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Smoking Area']",3,Average,7,8,0,-1,-1
1402385,Bollywood Theka,['Casual Dining'],https://www.zomato.com/indore/bollywood-theka-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"IC/CA Scheme 94, Infiniti Hotel, Vijay Nagar, Indore",Indore,14,"Infiniti Hotel, Vijay Nagar",22.75004369,75.90347618,,1,"Infiniti Hotel, Vijay Nagar, Indore","North Indian, Fast Food, Finger Food",12noon – 12midnight (Mon-Sun),1300,3,Rs.,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Credit Card', 'Fullbar', 'Table booking recommended', 'Indoor Seating', 'Air Conditioned', 'Smoking Area']",4.4,Very Good,1119,263,0,-1,-1
1402840,Hill's View - Papaya Tree Hotel,['Casual Dining'],https://www.zomato.com/indore/hills-view-papaya-tree-hotel-rau?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Papaya Tree Hotel, Rooftop, Rau Bypass Square A.B. Road, Rau, Indore",Indore,14,Papaya Tree Hotel,22.62661557,75.8053707,,1,"Papaya Tree Hotel, Indore","North Indian, Chinese, Italian",12 Noon to 11 PM,1300,3,Rs.,"['Lunch', 'Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Fullbar', 'Digital Payments Accepted', 'City View', 'Rooftop', 'Table booking recommended', 'Kid Friendly', 'Smoking Area']",4.4,Very Good,414,251,0,-1,-1
